| time |        x         |        y         |nx |zy |ny |no |cx |re |op |       out        |zr |ng |of |
| 0+   | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0000000000000000 | 0 | 1 | 0 |
| 1    | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1111111111111110 | 0 | 1 | 0 |
| 1+   | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1111111111111110 | 0 | 0 | 0 |
| 2    | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0000000000000011 | 0 | 0 | 0 |
| 2+   | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000011 | 0 | 0 | 0 |
| 3    | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000001 | 0 | 0 | 0 |
| 3+   | 0000000000000010 | 0000000000000100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000001 | 0 | 0 | 0 |
| 4    | 0000000000000010 | 0000000000000100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000110 | 0 | 0 | 0 |
| 4+   | 0000000000000010 | 0000000000000100 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0000000000000110 | 0 | 1 | 0 |
| 5    | 0000000000000010 | 0000000000000100 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1111111111111110 | 0 | 1 | 0 |
| 5+   | 0000000000000010 | 0000000000000100 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1111111111111110 | 0 | 0 | 0 |
| 6    | 0000000000000010 | 0000000000000100 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0000000000000010 | 0 | 0 | 0 |
| 6+   | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0000000000000010 | 0 | 0 | 0 |
| 7    | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0000000000000011 | 0 | 0 | 0 |
| 7+   | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0000000000000011 | 0 | 0 | 0 |
| 8    | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0000000000000100 | 0 | 0 | 0 |
